seas_id,season,player_id,player,pos,age,experience,lg,tm,games,mp,fg_percent,avg_dist_fga,2p_fga_percent,3p_fga_percent,2p_fg_percent,3p_fg_percent
29797,2022,4487,Daniel Theis,C,29,5,NBA,BOS,21,393,0.598,9.7,0.75,0.25,0.679,0.357
29798,2022,3807,Danilo Galli0ri,PF,33,13,NBA,ATL,66,1672,0.434,18.6,0.508,0.492,0.485,0.381
29799,2022,3867,Danny Green,SF,34,13,NBA,PHI,62,1353,0.394,21.8,0.153,0.847,0.469,0.38
29800,2022,4389,Danuel House,SF,28,6,NBA,TOT,42,727,0.404,16.9,0.409,0.591,0.444,0.376
29801,2022,4389,Danuel House,SF,28,6,NBA,HOU,16,233,0.338,15.2,0.541,0.459,0.375,0.294
29802,2022,4389,Danuel House,SF,28,6,NBA,NYK,1,3,0,27,0,1,0,0
29803,2022,4389,Danuel House,SF,28,6,NBA,UTA,25,491,0.447,17.8,0.333,0.667,0.512,0.415
29804,2022,4706,DaQuan Jeffries,SG,24,3,NBA,MEM,3,9,0.5,12.1,0.5,0.5,1,0
29805,2022,4707,Darius Bazley,PF,21,3,NBA,OKC,69,1924,0.422,12.7,0.586,0.414,0.511,0.297
29806,2022,4708,Darius Garland,PG,22,3,NBA,CLE,68,2430,0.462,15.5,0.613,0.387,0.512,0.383
29807,2022,3869,Darren Collison,PG,34,11,NBA,LAL,3,37,0.286,16.1,0.571,0.429,0.5,0
29808,2022,4924,David Duke Jr.,PG,22,1,NBA,BRK,22,341,0.361,10.6,0.657,0.343,0.423,0.243
29809,2022,4925,David Johnson,SG,20,1,NBA,TOR,2,2,0,26.1,0,1,0,0
29810,2022,4391,David Nwaba,SF,29,6,NBA,HOU,46,609,0.483,9,0.722,0.278,0.551,0.306
29811,2022,4926,Davion Mitchell,PG,23,1,NBA,SAC,75,2076,0.418,15.6,0.62,0.38,0.48,0.316
29812,2022,4392,Dāvis Bertāns,PF,29,6,NBA,TOT,56,807,0.36,23,0.164,0.836,0.489,0.335
29813,2022,4392,Dāvis Bertāns,PF,29,6,NBA,WAS,34,501,0.351,23.6,0.158,0.842,0.519,0.319
29814,2022,4392,Dāvis Bertāns,PF,29,6,NBA,DAL,22,306,0.375,22.1,0.173,0.827,0.444,0.36
29815,2022,4488,Davon Reed,SG,26,3,NBA,DEN,48,668,0.503,18,0.466,0.534,0.587,0.43
29816,2022,4927,Day'Ron Sharpe,PF,20,1,NBA,BRK,32,391,0.577,3.2,0.953,0.047,0.592,0.286
29817,2022,4489,De'Aaron Fox,PG,24,5,NBA,SAC,59,2083,0.473,12.4,0.772,0.228,0.524,0.297
29818,2022,4709,De'Andre Hunter,SF,24,3,NBA,ATL,53,1577,0.442,14.3,0.661,0.339,0.474,0.379
29819,2022,4602,De'Anthony Melton,SG,23,4,NBA,MEM,73,1657,0.404,17.2,0.465,0.535,0.44,0.374
29820,2022,4710,Dean Wade,PF,25,3,NBA,CLE,51,980,0.456,18.3,0.346,0.654,0.64,0.359
29821,2022,4603,Deandre Ayton,C,23,4,NBA,PHO,58,1713,0.634,7,0.973,0.027,0.642,0.368
29822,2022,3810,DeAndre Jordan,C,33,14,NBA,TOT,48,622,0.643,1.7,1,0,0.643,0
29823,2022,3810,DeAndre Jordan,C,33,14,NBA,LAL,32,408,0.674,1.8,1,0,0.674,0
29824,2022,3810,DeAndre Jordan,C,33,14,NBA,PHI,16,214,0.593,1.6,1,0,0.593,0
29825,2022,4393,DeAndre' Bembry,SF,27,6,NBA,TOT,56,1026,0.561,6.2,0.837,0.163,0.589,0.417
29826,2022,4393,DeAndre' Bembry,SF,27,6,NBA,BRK,48,949,0.568,6.2,0.831,0.169,0.599,0.417
29827,2022,4393,DeAndre' Bembry,SF,27,6,NBA,MIL,8,77,0.375,4.4,1,0,0.375,0
29828,2022,4822,Deividas Sirvydis,SG,21,2,NBA,DET,3,27,0.1,19.4,0.3,0.7,0,0.143
29829,2022,4928,DeJon Jarreau,SG,24,1,NBA,IND,1,1,0,0,0,0,0,0
29830,2022,4394,Dejounte Murray,PG,25,5,NBA,SAS,68,2366,0.462,12.7,0.763,0.237,0.504,0.327
29831,2022,4320,Delon Wright,SG,29,7,NBA,ATL,77,1452,0.454,14.3,0.569,0.431,0.51,0.379
29832,2022,3872,DeMar DeRozan,PF,32,13,NBA,CHI,76,2743,0.504,13,0.907,0.093,0.52,0.352
29833,2022,3926,DeMarcus Cousins,C,31,11,NBA,TOT,48,718,0.46,12.1,0.623,0.377,0.554,0.303
29834,2022,3926,DeMarcus Cousins,C,31,11,NBA,MIL,17,287,0.466,12.2,0.593,0.407,0.6,0.271
29835,2022,3926,DeMarcus Cousins,C,31,11,NBA,DEN,31,431,0.456,12,0.641,0.359,0.53,0.324
29836,2022,4823,Deni Avdija,SF,21,2,NBA,WAS,82,1984,0.432,14.4,0.553,0.447,0.525,0.317
29837,2022,4157,Dennis Schröder,SG-PG,28,9,NBA,TOT,64,1837,0.431,14.9,0.655,0.345,0.477,0.344
29838,2022,4157,Dennis Schröder,SG,28,9,NBA,BOS,49,1433,0.44,14.7,0.671,0.329,0.485,0.349
29839,2022,4157,Dennis Schröder,PG,28,9,NBA,HOU,15,404,0.393,15.6,0.586,0.414,0.439,0.328
29840,2022,4490,Dennis Smith Jr.,PG,24,5,NBA,POR,37,638,0.418,9,0.857,0.143,0.451,0.222
29841,2022,4396,Denzel Valentine,SG,28,5,NBA,TOT,24,222,0.379,20.6,0.288,0.712,0.316,0.404
29842,2022,4396,Denzel Valentine,SG,28,5,NBA,CLE,22,204,0.371,20.6,0.29,0.71,0.278,0.409
29843,2022,4396,Denzel Valentine,SG,28,5,NBA,UTA,2,18,0.5,21.6,0.25,0.75,1,0.333
29844,2022,3928,Derrick Favors,C,30,12,NBA,OKC,39,653,0.516,9.7,0.912,0.088,0.554,0.125
29845,2022,4397,Derrick Jones Jr.,PF,24,6,NBA,CHI,51,899,0.538,8.9,0.687,0.313,0.634,0.328
29846,2022,3812,Derrick Rose,PG,33,13,NBA,NYK,26,636,0.445,13.4,0.664,0.336,0.467,0.402
29847,2022,4491,Derrick Walton,PG,26,3,NBA,DET,3,108,0.231,18.1,0.5,0.5,0.231,0.231
29848,2022,4492,Derrick White,SG,27,5,NBA,TOT,75,2199,0.421,15.4,0.539,0.461,0.515,0.312
29849,2022,4492,Derrick White,SG,27,5,NBA,SAS,49,1486,0.426,15.2,0.547,0.453,0.519,0.314
29850,2022,4492,Derrick White,SG,27,5,NBA,BOS,26,713,0.409,16,0.517,0.483,0.504,0.306
29851,2022,4824,Desmond Bane,SF,23,2,NBA,MEM,76,2266,0.461,16.8,0.525,0.475,0.484,0.436
29852,2022,4321,Devin Booker,SG,25,7,NBA,PHO,68,2345,0.466,16.1,0.664,0.336,0.508,0.383
29853,2022,4825,Devin Can0dy,PG,25,2,NBA,ORL,5,145,0.341,22.5,0.159,0.841,0,0.405
29854,2022,4826,Devin Vassell,SF,21,2,NBA,SAS,71,1937,0.427,17.3,0.503,0.497,0.492,0.361
29855,2022,4827,Devon Dotson,PG,22,2,NBA,CHI,11,85,0.478,12.2,0.609,0.391,0.643,0.222
29856,2022,4712,Devontae Cacok,PF,25,3,NBA,SAS,15,121,0.677,4.6,1,0,0.677,0
29857,2022,4607,Devonte' Graham,PG,26,4,NBA,NOP,76,2162,0.363,21.2,0.309,0.691,0.413,0.341
29858,2022,4158,Dewayne Dedmon,C,32,9,NBA,MIA,67,1065,0.566,8.2,0.838,0.162,0.597,0.404
