"season","team","abbreviation","playoffs","w","l","mov","o_rtg","d_rtg","n_rtg","pace","f_tr","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","opp_drb_percent","opp_ft_fga","championship","conference"
"2019                                              ",Boston Celtics                                    ,BOS       ,TRUE,49.00000,33.00000,4.44000,112.20000,107.80000,4.40000,99.60000,0.21500,0.56700,0.53400,11.50000,21.60000,0.17300,0.51400,13.40000,77.00000,0.19800,FALSE,EAST
"2019                                              ",Brooklyn Nets                                     ,BRK       ,TRUE,42.00000,40.00000,-0.07000,109.60000,109.70000,-0.10000,100.80000,0.28400,0.55600,0.52000,13.00000,23.80000,0.21100,0.51200,11.60000,76.40000,0.19000,FALSE,EAST
"2019                                              ",Chicago Bulls                                     ,CHI       ,FALSE,22.00000,60.00000,-8.41000,104.80000,113.20000,-8.40000,99.00000,0.23500,0.54100,0.50500,12.70000,19.40000,0.18400,0.54100,11.90000,77.30000,0.18800,FALSE,EAST
"2019                                              ",Charlotte Hornets                                 ,CHO       ,FALSE,39.00000,43.00000,-1.10000,111.40000,112.50000,-1.10000,98.70000,0.25700,0.55400,0.51400,10.90000,21.70000,0.20500,0.53800,12.10000,77.10000,0.17900,FALSE,EAST
"2019                                              ",Cleveland Cavaliers                               ,CLE       ,FALSE,19.00000,63.00000,-9.61000,107.70000,117.60000,-9.90000,96.60000,0.23600,0.54000,0.50300,12.20000,23.70000,0.18700,0.56400,11.50000,77.00000,0.18100,FALSE,EAST
"2019                                              ",Dallas Mavericks                                  ,DAL       ,FALSE,33.00000,49.00000,-1.28000,109.40000,110.70000,-1.30000,99.00000,0.29100,0.55500,0.51900,12.70000,22.70000,0.21600,0.52200,11.60000,77.50000,0.19100,FALSE,WEST
"2019                                              ",Denver Nuggets                                    ,DEN       ,TRUE,54.00000,28.00000,3.95000,113.00000,108.90000,4.10000,97.70000,0.23200,0.55800,0.52700,11.90000,26.60000,0.17500,0.52100,12.30000,78.00000,0.19400,FALSE,WEST
"2019                                              ",Detroit Pistons                                   ,DET       ,TRUE,41.00000,41.00000,-0.24000,109.00000,109.20000,-0.20000,97.40000,0.26200,0.54400,0.50900,12.30000,24.80000,0.19500,0.52600,12.80000,78.70000,0.21100,FALSE,EAST
"2007                                              ",New York Knicks                                   ,NYK       ,FALSE,33.00000,49.00000,-2.85000,105.70000,108.80000,-3.10000,90.80000,0.37700,0.53900,0.49400,15.90000,31.00000,0.27000,0.50400,13.00000,74.00000,0.24600,FALSE,EAST
"2007                                              ",Orlando Magic                                     ,ORL       ,TRUE,40.00000,42.00000,0.78000,104.90000,104.10000,0.80000,89.90000,0.39300,0.54400,0.50000,16.30000,29.30000,0.27600,0.48000,14.60000,73.70000,0.28600,FALSE,EAST
"2007                                              ",Philadelphia 76ers                                ,PHI       ,FALSE,35.00000,47.00000,-3.02000,103.60000,106.90000,-3.30000,90.70000,0.33300,0.53000,0.48000,14.60000,27.20000,0.25500,0.50100,14.70000,70.80000,0.22100,FALSE,EAST
"2019                                              ",Golden State Warriors                             ,GSW       ,TRUE,57.00000,25.00000,6.46000,115.90000,109.50000,6.40000,100.90000,0.22700,0.59600,0.56500,12.60000,22.50000,0.18200,0.50800,11.70000,77.10000,0.20500,FALSE,WEST
